primary_product,price,unit,weight,cross_sell_discount,promo_details,slogan,associated_cross_sell,dynamic_ad_prompt,pre_defined_ad_image
wine glass,9.99,/ea,1,10%,Elegant Pairing - 10% off Wine Bottles,Cheers to Quality!,bottle,"Elegant food photograph of a half-full red wine glass beside an open bottle of red wine, rich ruby tones glowing under warm lighting, subtle reflections on the glass, shallow depth of field, cozy upscale ambiance, irresistibly inviting",
cup,6.99,/set,4 pack,10%,Beverage Bundle - 10% off Coffee,Sip in Style,coffee,"Warm, inviting food photo of a steaming cup of coffee in a ceramic mug, soft morning light, rising steam, rich creama, cozy cafe background, shallow depth of field.",
cup,6.99,/set,4 pack,20%,Utensil Match - 20% off Spoon Sets,Complete Your Collection,spoon,"Warm, inviting close-up of a stainless steel spoon bridging from a table to a saucer plate with a steaming cup of coffee, soft ambient lighting, gentle steam rising, rich brown tones, cozy cafe atmosphere, shallow depth of field",
fork,12.99,/set,24 pack,15%,Cutlery Combo - 15% off Flatware Set,Dine with Distinction,flatware,"Clean, elegant food photograph of a complete flatware set including fork, knife, and spoon, neatly arranged on a linen tablecloth, polished stainless steel, soft natural lighting, minimal modern aesthetic.",
fork,12.99,/set,24 pack,15%,Perfect Pair - 15% off Spoons,Set Your Table Right,spoon,"Clean, elegant food photograph of a fork and a spoon resting next to each other, neatly arranged on a linen tablecloth, polished stainless steel, soft natural lighting, minimal modern aesthetic",
knife,14.99,/set,12 pack,15%,Kitchen Essential Bundle - 15% off Knife Set,Sharp Deals Sharp Quality,knife set,"Clean, stylish food photograph of knives stored in a wooden knife block, with one chef's knife resting on the table beside it, polished steel reflecting soft natural light, warm kitchen setting, modern and professional.",
knife,14.99,/set,12 pack,15%,Complete Flatware - 15% off Flatware Set,Precision in Every Cut,flatware,"Clean, elegant food photograph of a simple stainless steel flatware set, neatly arranged on a linen tablecloth, polished stainless steel, soft natural lighting, minimal modern aesthetic.",
spoon,3.49,/ea,1,15%,Dessert Special - 15% off Ice Cream,Scoop the Savings!,ice cream,"Appetizing close-up of a creamy bowl of ice cream with a spoon stuck in it, glossy scoops slightly melting, soft warm lighting, rich textures, shallow depth of field, cozy dessert mood.",
spoon,11.99,/set,24 pack,20%,Breakfast Bundle - 20% off Bowl Sets,Morning Made Better,bowl,"Delicious close-up of a bowl of cereal with milk and colorful pieces, a spoon resting inside, soft morning light, gentle reflections, shallow depth of field, cozy breakfast setting",
spoon,11.99,/set,24 pack,20%,Serve in Style - 20% off Cup Sets,Every Meal Matters,cup,"Warm, inviting close-up of a steaming cup of coffee with a spoon resting beside the cup, soft ambient lighting, gentle steam rising, rich brown tones, cozy cafe atmosphere, shallow depth of field",
donut,4.99,/box,12 pack,15%,Sweet Combo - 15% off Cup Sets,Dunkin Good Deals!,cup,"Appetizing close-up of a steaming cup of coffee beside a glazed donut on a small plate, warm cozy lighting, gentle steam rising, rich textures, shallow depth of field, inviting cafe atmosphere",
donut,4.99,/box,12 pack,30%,Dessert Lovers - 30% off Cake,Double the Sweetness!,cake,"Mouth-watering food photograph of a moist slice of chocolate cake on a plate, rich textures visible, warm inviting lighting, subtle shine, shallow depth of field, cozy dessert cafe atmosphere.",
cake,1.99,/each,32.0 oz,20%,Celebration Bundle - 20% off Milk,Life Is Sweet!,milk,"Delicious close-up of a cold glass of milk, a slice of chocolate cake on a plate blurred in the background, rich and glossy texture visible, warm inviting lighting, shallow depth of field",
cake,12.99,/each,32.0 oz,30%,Bakery Special - 30% off Donuts,Indulge Every Moment,donut,"Mouth-watering food photograph of a glazed donut on a plate beside a moist slice of chocolate cake, rich textures visible, warm inviting lighting, subtle shine, shallow depth of field, cozy dessert cafe atmosphere.",
microwave,299,/each,1 unit,25%,Kitchen Upgrade - 25% off Oven,Cook Smart Save More,oven,"E-commerce style product photo of a sleek, modern toaster oven on a clean white background, stainless steel finish, front angle view, soft studio lighting, subtle reflections, sharp details, minimal shadows, premium and professional look",
microwave,59,/each,1 unit,20%,Morning Bundle - 20% off Toaster,Heat It Up!,toaster,"E-commerce style product photo of a sleek, modern toaster on a clean white background, brushed stainless steel finish, front three-quarter view, soft studio lighting, subtle reflections, crisp details, minimal shadows, premium and professional look",
oven,299,/each,1 unit,15%,Appliance Combo - 15% off Microwave,Bake Your Best,microwave,"E-commerce style product photo of a sleek, modern microwave on a clean white background, stainless steel finish, front three quarter angle, soft studio lighting, subtle reflections, crisp details, minimal shadows, premium and professional look",
oven,59,/each,1 unit,20%,Kitchen Essentials - 20% off Toaster,From Oven to Table,toaster,"E-commerce style product photo of a sleek, modern toaster on a clean white background, brushed stainless steel finish, front three-quarter view, soft studio lighting, subtle reflections, crisp details, minimal shadows, premium and professional look",
toaster,299,/each,1 unit,20%,Breakfast Power - 20% off Microwave,Rise & Shine Savings,microwave,"E-commerce style product photo of a sleek, modern microwave on a clean white background, stainless steel finish, front three quarter angle, soft studio lighting, subtle reflections, crisp details, minimal shadows, premium and professional look",
toaster,299,/each,1 unit,15%,Complete Kitchen - 15% off Oven,Golden Brown Perfect,oven,"E-commerce style product photo of a sleek, modern toaster oven on a clean white background, stainless steel finish, front angle view, soft studio lighting, subtle reflections, sharp details, minimal shadows, premium and professional look",
book,6,/each,1 unit,10%,"Reader's Bundle - 10% off ",Knowledge Is Power!,pen,"E-commerce style close-up of a luxury fountain pen writing elegant text in a notebook, glossy black and gold details, smooth flowing ink, soft studio lighting, shallow depth of field, refined and premium aesthetic",
scissors,3.99,/each,1 unit,10%,Craft Kit - 10% off Books,Cut Above the Rest,book,"Clean, appealing product photo of a colorful children's craft book with partially finished crafts next to it, soft natural lighting, bright cheerful colors, shallow depth of field, tidy tabletop setting, friendly and inviting mood",
toothbrush,2.99,/each,1 unit,15%,Oral Care Bundle - 15% off Toothpaste,Smile Bright Every Day,toothpaste,"Clean, professional product photo of a single tube of toothpaste standing upright on a counter, bathroom background, soft studio lighting, crisp details, subtle reflections, minimal shadows, fresh and hygienic",
umbrella,19,/each,1 unit,10%,Weather Combo - 10% off Galoshes,Ready for the Rain!,galoshes,"Moody, cinematic photograph of a person holding an open umbrella in the rain, wearing bright galoshes while stepping into a puddle, water splashing upward, soft overcast lighting, shallow depth of field, cozy rainy-day atmosphere",
bowl,8,/set,4 pack,20%,Dining Set - 20% off Spoon Sets,Serve with Style,spoon,"Appetizing close-up of a creamy bowl of ice cream with a spoon stuck in it, glossy scoops slightly melting, soft warm lighting, rich textures, shallow depth of field, cozy dessert mood.",
bowl,0.99,/lb,4 pack,10%,Fresh Start - 10% off Bananas,Bowl Full of Goodness,banana,"Close-up, appetizing photo of a ceramic bowl half full of neatly sliced bananas, a metal fork sticking out, soft natural lighting, gentle shadows, shallow depth of field, fresh and inviting breakfast vibe",
bowl,3.68,/lb,4 pack,10%,Healthy Choice - 10% off Apples,Fill It Up Right!,apple,"Close-up, appetizing photo of a ceramic bowl half full of neatly sliced apples, a metal fork sticking out, soft natural lighting, gentle shadows, shallow depth of field, fresh and inviting breakfast vibe",
frisbee,12,/each,1 unit,15%,Outdoor Fun - 15% off Sports Balls,Catch the Savings!,sports ball,"Bright, sunny beach scene featuring a frisbee resting against an inflated, colorful beach ball on soft sand, with ocean waves and blue sky in the background, natural daylight, vibrant colors, relaxed summer vibe",
frisbee,1.99,/each,1 unit,10%,Active Bundle - 10% off Bottles,Play Hard Stay Fresh,bottle,"E-commerce product photo of a sleek frisbee placed beside a cold water bottle with condensation, clean white background, soft studio lighting, crisp details, minimal shadows, modern and refreshing look",
skis,249,/pair,1 unit,20%,Winter Sports Bundle - 20% off Snowboard,Hit the Slopes!,snowboard,"E-commerce product photo of a pair of skis standing upright in fresh snow beside a snowboard resting flat, clean alpine setting, bright natural light, crisp details, minimal background distractions, premium winder sports aesthetic",
skis,79,/pair,1 unit,15%,Gear Up Deal - 15% off Sports Ball,Powder Perfect,sports ball,"E-commerce product photo of a pair of skis neatly positioned beside a classic soccer ball on a clean white background, soft studio lighting, crisp details, minimal shadows, modern sporty aesthetic, professional and premium",
snowboard,199,/each,1 unit,20%,Mountain Duo - 20% off Skis,Shred the Mountain!,skis,"E-commerce product photo of a pair of skis standing upright in fresh snow beside a snowboard resting flat, clean alpine setting, bright natural light, crisp details, minimal background distractions, premium winder sports aesthetic",
snowboard,1.99,/each,1 unit,10%,Winter Ready - 10% off Bottles,Ride or Die,bottle,"E-commerce product photo of a sleek snowboard positioned beside a cold, refreshing water bottle with condensation, clean white background, soft studio lighting, crisp details, minimal shadows, modern and energetic aesthetic",
sports ball,19,/each,1 unit,15%,Game Time - 15% off Frisbee,Play Ball Win Big,frisbee,"Lifestyle photo of a person in a sunny park throwing a frisbee, arm extended mid-throw, vibrant green grass, soft natural light, shallow depth of field, motion blur capturing energy, fun and carefree outdoor atmosphere",
sports ball,39,/each,1 unit,20%,Athletic Combo - 20% off Baseball Bat,Champions Choose Quality,baseball bat,"E-commerce product photo of a clean white baseball placed beside a wooden baseball bat, pure white background, soft studio lighting, crisp details, minimal shadows, professional and premium sports merchandise aesthetic",
sports ball,1.99,/each,1 unit,10%,Stay Hydrated - 10% off Bottles,Game On!,bottle,"E-commerce product photo of a classic soccer ball placed beside a cold, refreshing water bottle with visible condensation, clean white background, soft studio lighting, crisp details, minimal shadows, modern sporty aesthetic",
kite,24,/each,1 unit,15%,Flying High - 15% off Frisbee,Soar to Savings!,frisbee,"Lifestyle photo of a person in a sunny park throwing a frisbee, arm extended mid-throw, vibrant green grass, soft natural light, shallow depth of field, motion blur capturing energy, fun and carefree outdoor atmosphere",
kite,24,/each,1 unit,10%,Outdoor Adventure - 10% off Sports Ball,Let Dreams Fly,sports ball,"E-commerce product photo of a classic soccer ball, colorful kite blurred in the background, soft studio lighting, crisp details, minimal shadows, playful yet modern aesthetic, professional and premium look",
baseball_bat,49,/each,1 unit,25%,Complete Set - 25% off Baseball-Glove,Home Run Deals!,baseball glove,"E-commerce product photo of a wooden baseball bat positioned beside a leather baseball glove on a clean white background, soft studio lighting, crisp details, minimal shadows, professional and premium sports merchandise aesthetic",
baseball_bat,3.59,/each,1 unit,15%,Team Sport Bundle - 15% off Sports Ball,Swing for Success,sports ball,"E-commerce product photo of a wooden baseball bat positioned beside a clean white baseball on a clean white background, soft studio lighting, crisp details, minimal shadows, professional and premium sports merchandise aesthetic",
baseball_glove,39,/each,1 unit,25%,Perfect Match - 25% off Baseball-Bat,Catch Every Moment,baseball bat,"E-commerce product photo of a wooden baseball bat positioned beside a leather baseball glove on a clean white background, soft studio lighting, crisp details, minimal shadows, professional and premium sports merchandise aesthetic",
baseball_glove,3.59,/each,1 unit,15%,Player's Choice - 15% off Sports Ball,Ready Set Play!,sports ball,"E-commerce product photo of a leather baseball glove holding a clean white baseball, centered on a pure white background, soft studio lighting, crisp textures, minimal shadows, professional and premium sports merchandise look",
skateboard,199,/each,1 unit,20%,Extreme Sports - 20% off Surfboard,Roll with Style,surfboard,"Realistic photo of a surfboard upright in the sand, beach and ocean softly blurred in the background, bright natural sunlight, clean composition, crisp details, modern coastal lifestyle aesthetic",
skateboard,79,/each,1 unit,15%,Urban Rider - 15% off Soccer Ball,Street Certified,sports ball,"E-commerce product photo of a classic soccer ball on a clean white background, soft studio lighting, crisp details, minimal shadows, modern sporty aesthetic, professional and premium look",
surfboard,299,/each,1 unit,20%,Board Sports Combo - 20% off Skateboard,Ride the Wave!,skateboard,"E-commerce style product photo of a skateboard and surfboard resting against a boardwalk railing, beach and ocean softly blurred in the background, bright natural sunlight, clean composition, crisp details, modern coastal lifestyle aesthetic",
surfboard,1.99,/each,1 unit,10%,Beach Essentials - 10% off Bottles,Ocean Calling,bottle,"E-commerce product photo of a sleek surfboard resting beside a cold, refreshing water bottle with condensation, clean white or minimalist coastal background, soft studio lighting, crisp details, minimal shadows modern and premium lifestyle look",
tennis_racket,4,/each,1 unit,20%,Court Ready - 20% off Tennis Balls,Ace Your Game!,sports ball,"E-commerce product photo of a modern tennis racket with a bright tennis ball resting on the strings, clean white background, soft studio lighting, crisp details, minimal shadows, professional and premium sports equipment aesthetic",
tennis_racket,1.99,/each,1 unit,10%,Active Lifestyle - 10% off Bottles,Love Means Everything,bottle,"E-commerce product photo of a modern tennis racket resting beside a cold, refreshing water bottle with condensation, clean white or minimalist coastal background, soft studio lighting, crisp details, minimal shadows modern and premium lifestyle look",
tv,11.99,/each,1 unit,15%,Entertainment Hub - 15% off Remote,Stream Your Dreams,remote,"E-commerce style product photo of modern television on a clean background, with a hand holding a remote angled toward the screen, button being pressed, soft studio lighting, crisp details, minimal shadows, premium and realistic look",
tv,699,/each,1 unit,20%,Smart Home Bundle - 20% off Laptop,Bigger Better Binge,laptop,"E-commerce product photo of a sleek, modern laptop on a clean white background, slightly open at a three-quarter angle, soft studio lighting, sharp details, minimal shadows, premium and professional technology aesthetic",
laptop,15.99,/each,1 unit,20%,Productivity Pack - 20% off Mouse,Work Smarter Not Harder,mouse,"E-commerce style product photo of a wireless mouse with a sleek modern laptop positioned in the background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
laptop,29,/each,1 unit,20%,Tech Essentials - 20% off Keyboard,Power Your Potential,keyboard,"E-commerce style product photo of a wireless keyboard in front of a sleek modern laptop on a table with a clean white background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
laptop,899,/each,1 unit,15%,Complete Setup - 15% off TV,Innovation Unlimited,tv,"E-commerce product photo of a large modern television on a tv stand with a clean white background, slightly open at a three-quarter angle, soft studio lighting, sharp details, minimal shadows, premium and professional technology aesthetic",
mouse,29,/each,1 unit,20%,Perfect Pair - 20% off Keyboard,Click Your Way to Success,keyboard,"E-commerce style product photo of a modern wireless keyboard positioned beside a wireless mouse on a clean white background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
mouse,699,/each,1 unit,25%,Workspace Combo - 25% off Laptop,Precision Matters,laptop,"E-commerce style product photo of a sleek modern laptop positioned beside a wireless mouse on a clean white background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
remote,400,/each,1 unit,15%,Control Center - 15% off TV,Command Your Comfort,tv,"E-commerce style product photo of modern television on a clean background, with a hand holding a remote angled toward the screen, button being pressed, soft studio lighting, crisp details, minimal shadows, premium and realistic look",
remote,899,/each,1 unit,10%,Smart Bundle - 10% off Cell Phone,Click Relax Repeat,cell phone,"E-commerce style product photo of a sleek, modern smartphone standing upright on a clean white background, edge-to-edge display, soft studio lighting, crisp reflections, sharp details, minimal shadows, premium and professional aesthetic",
keyboard,15,/each,1 unit,20%,Typing Duo - 20% off Mouse,Type Like a Pro,mouse,"E-commerce style product photo of a modern wireless mouse on a clean white background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
keyboard,699,/each,1 unit,25%,Office Bundle - 25% off Laptop,Keys to Success,laptop,"E-commerce style product photo of a sleek modern laptop positioned beside a wireless keyboard on a clean white background, three-quarter angle, soft studio lighting, crisp details, minimal shadows, professional and premium technology aesthetic",
cell_phone,699,/each,1 unit,15%,Connected Life - 15% off Laptop,Stay Connected Stay Ahead,laptop,"E-commerce product photo of a sleek, modern laptop on a clean white background, slightly open at a three-quarter angle, soft studio lighting, sharp details, minimal shadows, premium and professional technology aesthetic",
cell_phone,29,/each,1 unit,20%,Mobile Office - 20% off Keyboard,Your World in Hand,keyboard,"E-commerce product photo of a sleek, modern keyboard on a clean white background, low-profile keys, minimalist design, soft studio lighting, crisp details, subtle reflections, minimal shadows, premium and professional technology aesthetic",
cell_phone,11,/each,1 unit,10%,Smart Control - 10% off Power Bank,Feel the Power,battery,"E-commerce style product photo of modern portable power bank for a phone on a clean background, no cables showing, soft studio lighting, crisp details, minimal shadows, premium and realistic look",
grapes,2.49,/Kg,1,20%,Fresh Pairing - 20% off Cheese,Fresh Picks for Every Basket,cheese,"Close-up food photograph of fresh green grapes in a wooden basket beside cheese cubes, soft natural lighting, shallow depth of field, premium grocery display styling",
grapes,2.49,/Kg,1,15%,Snack Combo - 15% off Crackers,Vine to Table Delight,crackers,"Appetizing product photograph of ripe grapes arranged next to artisan crackers on a wooden board, warm natural light, shallow depth of field, premium grocery styling",
grapes,2.49,/Kg,1,10%,Hydration Pair - 10% off Yogurt,Fresh and Fruity Every Day,yogurt,"Lifestyle food photo of washed grapes in a glass bowl beside a creamy yogurt cup, bright morning light, clean kitchen background, fresh and healthy retail aesthetic",
lime,1.29,/Kg,1,15%,Citrus Combo - 15% off Sparkling Water,Zest Up Your Day,sparkling water,"Bright product photo of fresh limes sliced on a clean kitchen counter with sparkling water in the background, vibrant green tones, crisp detail, refreshing and modern retail style",
lime,1.29,/Kg,1,20%,Taco Night Deal - 20% off Avocado,Bring the Zing,avocado,"Food styling photo of fresh limes and sliced avocado on a chopping board, soft daylight, vivid green color contrast, clean and modern grocery promotion look",
lime,1.29,/Kg,1,10%,Grill Pairing - 10% off Soda,Citrus Kick for Every Meal,soda,"Refreshing close-up of lime wedges beside a chilled soda bottle with condensation, bright highlights, shallow depth of field, casual summer grocery campaign aesthetic",
